Country,L1,L2,L3,L4
NZ,Greater Wellignton ,Kapiti Coast,Kapiti,Paekakariki
NZ,Greater Wellignton ,Kapiti Coast,Kapiti,Queen Elizabeth Park
NZ,Greater Wellignton ,Porirua,Porirua Northern,Camborne
NZ,Greater Wellignton ,Porirua,Porirua Northern,Hongoeka
NZ,Greater Wellignton ,Porirua,Porirua Northern,Plimmerton
NZ,Greater Wellignton ,Porirua,Porirua Northern,Pukerua Bay
NZ,Greater Wellignton ,Porirua,Porirua Northern,Papakowhai
NZ,Greater Wellignton ,Porirua,Porirua Northern,Paremata
NZ,Greater Wellignton ,Porirua,Porirua Northern,Whitby
NZ,Greater Wellignton ,Porirua,Porirua Northern,Aotea
NZ,Greater Wellignton ,Porirua,Porirua Northern,Ascot Park
NZ,Greater Wellignton ,Porirua,Porirua Southern,Cannons Creek
NZ,Greater Wellignton ,Porirua,Porirua Southern,Ranui Heights
NZ,Greater Wellignton ,Porirua,Porirua Southern,Waitangirua
NZ,Greater Wellignton ,Porirua,Porirua Southern,Kenepuru
NZ,Greater Wellignton ,Porirua,Porirua Southern,Elsdon
NZ,Greater Wellignton ,Porirua,Porirua Southern,Porirua City Centre
NZ,Greater Wellignton ,Porirua,Porirua Southern,Takapuwahia
NZ,Greater Wellignton ,Porirua,Porirua Southern,Titahi Bay
NZ,Greater Wellignton ,Porirua,Porirua Northern,Pauatahanui
NZ,Greater Wellignton ,Upper Hutt,Upper Hutt,Pinehaven
NZ,Greater Wellignton ,Upper Hutt,Upper Hutt,Riverstone Terraces
NZ,Greater Wellignton ,Upper Hutt,Upper Hutt,Silverstream
NZ,Greater Wellignton ,Upper Hutt,Upper Hutt,Trentham
NZ,Greater Wellignton ,Upper Hutt,Upper Hutt,Ebdentown
NZ,Greater Wellignton ,Upper Hutt,Upper Hutt,Elderslea
NZ,Greater Wellignton ,Upper Hutt,Upper Hutt,Heretaunga
NZ,Greater Wellignton ,Upper Hutt,Upper Hutt,Kingsley Heights
NZ,Greater Wellignton ,Upper Hutt,Upper Hutt,Maidstone
NZ,Greater Wellignton ,Upper Hutt,Upper Hutt,Totara Park
NZ,Greater Wellignton ,Upper Hutt,Upper Hutt,Upper Hutt
NZ,Greater Wellignton ,Upper Hutt,Upper Hutt,Wallaceville
NZ,Greater Wellignton ,Upper Hutt,Upper Hutt,Akatarawa
NZ,Greater Wellignton ,Upper Hutt,Upper Hutt,Akatarawa Valley
NZ,Greater Wellignton ,Upper Hutt,Upper Hutt,Birchville
NZ,Greater Wellignton ,Upper Hutt,Upper Hutt,Brown Owl
NZ,Greater Wellignton ,Upper Hutt,Upper Hutt,Clouston Park
NZ,Greater Wellignton ,Upper Hutt,Upper Hutt,Craigs Flat
NZ,Greater Wellignton ,Upper Hutt,Upper Hutt,Mangaroa
NZ,Greater Wellignton ,Upper Hutt,Upper Hutt,Maoribank
NZ,Greater Wellignton ,Upper Hutt,Upper Hutt,Maymorn
NZ,Greater Wellignton ,Upper Hutt,Upper Hutt,Pakuratahi
NZ,Greater Wellignton ,Upper Hutt,Upper Hutt,Te Marua
NZ,Greater Wellignton ,Upper Hutt,Upper Hutt,Timberlea
NZ,Greater Wellignton ,South Wairarapa,Wairarapa,Eketahuna
NZ,Greater Wellignton ,South Wairarapa,Wairarapa,Masterton
NZ,Greater Wellignton ,South Wairarapa,Wairarapa,Homebush
NZ,Greater Wellignton ,South Wairarapa,Wairarapa,Kuripuni
NZ,Greater Wellignton ,South Wairarapa,Wairarapa,Landsdown
NZ,Greater Wellignton ,South Wairarapa,Wairarapa,Solway
NZ,Greater Wellignton ,South Wairarapa,Wairarapa,Te Ore Ore
NZ,Greater Wellignton ,South Wairarapa,Wairarapa,Carterton
NZ,Greater Wellignton ,South Wairarapa,Wairarapa,Clareville
NZ,Greater Wellignton ,South Wairarapa,Wairarapa,Greytown
NZ,Greater Wellignton ,South Wairarapa,Wairarapa,Featherston
NZ,Greater Wellignton ,South Wairarapa,Wairarapa,Martinbourough
NZ,Greater Wellignton ,South Wairarapa,Wairarapa,Upper Plain
NZ,Greater Wellignton ,Wellington,Wellington Central,Aro Valley
NZ,Greater Wellignton ,Wellington,Wellington Central,Mount Cook
NZ,Greater Wellignton ,Wellington,Wellington Central,Mount Victoria
NZ,Greater Wellignton ,Wellington,Wellington Central,Oriental Bay
NZ,Greater Wellignton ,Wellington,Wellington Central,Pipitea
NZ,Greater Wellignton ,Wellington,Wellington Central,Te Aro
NZ,Greater Wellignton ,Wellington,Wellington Central,Wellington Central
NZ,Greater Wellignton ,Wellington,Wellington Central,Thorndon
NZ,Greater Wellignton ,Wellington,Wellington Eastern and Southern,Berhampore
NZ,Greater Wellignton ,Wellington,Wellington Eastern and Southern,Brooklyn
NZ,Greater Wellignton ,Wellington,Wellington Eastern and Southern,Island Bay
NZ,Greater Wellignton ,Wellington,Wellington Eastern and Southern,Kingston
NZ,Greater Wellignton ,Wellington,Wellington Eastern and Southern,Mornington
NZ,Greater Wellignton ,Wellington,Wellington Eastern and Southern,Newtown
NZ,Greater Wellignton ,Wellington,Wellington Eastern and Southern,Owhiro Bay
NZ,Greater Wellignton ,Wellington,Wellington Eastern and Southern,Southgate
NZ,Greater Wellignton ,Wellington,Wellington Eastern and Southern,Vogeltown
NZ,Greater Wellignton ,Wellington,Wellington Eastern and Southern,Hataitai
NZ,Greater Wellignton ,Wellington,Wellington Eastern and Southern,Houghton Bay
NZ,Greater Wellignton ,Wellington,Wellington Eastern and Southern,Kilbirnie
NZ,Greater Wellignton ,Wellington,Wellington Eastern and Southern,Lyall Bay
NZ,Greater Wellignton ,Wellington,Wellington Eastern and Southern,Melrose
NZ,Greater Wellignton ,Wellington,Wellington Eastern and Southern,Rongotai
NZ,Greater Wellignton ,Wellington,Wellington Eastern and Southern,Roseneath
NZ,Greater Wellignton ,Wellington,Wellington Eastern and Southern,Breaker Bay
NZ,Greater Wellignton ,Wellington,Wellington Eastern and Southern,Karaka Bays
NZ,Greater Wellignton ,Wellington,Wellington Eastern and Southern,Maupuia
NZ,Greater Wellignton ,Wellington,Wellington Eastern and Southern,Miramar
NZ,Greater Wellignton ,Wellington,Wellington Eastern and Southern,Moa Point
NZ,Greater Wellignton ,Wellington,Wellington Eastern and Southern,Seatoun
NZ,Greater Wellignton ,Wellington,Wellington Eastern and Southern,Strathmore Park
NZ,Greater Wellignton ,Wellington,Wellington Northern and Western,Grenada North
NZ,Greater Wellignton ,Wellington,Wellington Northern and Western,Redwood
NZ,Greater Wellignton ,Wellington,Wellington Northern and Western,Takapu Valley
NZ,Greater Wellignton ,Wellington,Wellington Northern and Western,Tawa
NZ,Greater Wellignton ,Wellington,Wellington Northern and Western,Broadmeadows
NZ,Greater Wellignton ,Wellington,Wellington Northern and Western,Churton Park
NZ,Greater Wellignton ,Wellington,Wellington Northern and Western,Glenside
NZ,Greater Wellignton ,Wellington,Wellington Northern and Western,Grenada Village
NZ,Greater Wellignton ,Wellington,Wellington Northern and Western,Johnsonville
NZ,Greater Wellignton ,Wellington,Wellington Northern and Western,Newlands
NZ,Greater Wellignton ,Wellington,Wellington Northern and Western,Ohariu
NZ,Greater Wellignton ,Wellington,Wellington Northern and Western,Paparangi
NZ,Greater Wellignton ,Wellington,Wellington Northern and Western,Woodridge
NZ,Greater Wellignton ,Wellington,Wellington Northern and Western,Horokiwi
NZ,Greater Wellignton ,Wellington,Wellington Northern and Western,Crofton Downs
NZ,Greater Wellignton ,Wellington,Wellington Northern and Western,Kaiwharawhara
NZ,Greater Wellignton ,Wellington,Wellington Northern and Western,Khandallah
NZ,Greater Wellignton ,Wellington,Wellington Northern and Western,Ngaio
NZ,Greater Wellignton ,Wellington,Wellington Northern and Western,Ngauranga
NZ,Greater Wellignton ,Wellington,Wellington Northern and Western,Wilton
NZ,Greater Wellignton ,Wellington,Wellington Northern and Western,Wadestown
NZ,Greater Wellignton ,Wellington,Wellington Northern and Western,Highbury
NZ,Greater Wellignton ,Wellington,Wellington Northern and Western,Karori
NZ,Greater Wellignton ,Wellington,Wellington Northern and Western,Kelburn
NZ,Greater Wellignton ,Wellington,Wellington Northern and Western,Makara
NZ,Greater Wellignton ,Wellington,Wellington Northern and Western,Makara Beach
NZ,Greater Wellignton ,Wellington,Wellington Northern and Western,Northland
NZ,Greater Wellignton ,Wellington,Wellington Northern and Western,Linden
